#lambda flux_corrected
3893.1405524892984 7.220641E-16
3894.0361643572305 7.613463999999999E-16
3894.9341204962057 9.917482E-16
3895.8301449721007 6.0813484E-16
3896.726375577249 5.776291399999999E-16
3897.62495207299 9.736709E-16
3898.5215955711533 5.783629000000001E-16
3899.420586040659 6.866677E-16
3900.317642622057 7.970223E-16
3901.217047256046 8.65229E-16
3902.114517110986 9.711506999999999E-16
3903.0121934276863 8.415243E-16
3903.91221941914 6.3314896E-16
3904.810309294894 7.669105E-16
3905.710749927895 7.04233E-16
3906.6092535532293 8.248597E-16
3907.510109018803 9.118242E-16
3908.4090265843315 1.2357045E-15
3909.3081509446642 9.072451E-16
3910.2096287700156 4.899803600000001E-16
3911.109167356515 8.749155999999999E-16
3912.0110604922734 1.0465144000000001E-15
3912.911013495773 6.9545054E-16
3913.8133221332714 8.289825999999999E-16
3914.7136897446935 4.1535854E-16
3915.614264484501 6.372028E-16
3916.517196485707 1.1184862E-15
3917.4181861198704 1.0577596E-15
3918.321534101421 9.477562000000001E-16
3919.2229388210817 7.773786E-16
3920.126702974619 5.660273E-16
3921.028522971007 4.3491699999999997E-16
3921.9305504298995 5.4188027E-16
3922.834938952694 9.315186499999998E-16
3923.7373819752092 1.0523675E-15
3924.6421871493676 8.336119999999999E-16
3925.5450459269555 1.1737128E-15
3926.4502679444286 9.736789999999999E-16
3927.3535426686276 1.0241233E-15
3928.2570251899897 9.381562000000001E-16
3929.162872583891 6.424662999999999E-16
3930.066771339222 7.1434565E-16
3930.9730360565886 9.138545E-16
3931.877351237648 5.0594673E-16
3932.78403347074 4.5348296E-16
3933.6887652693745 5.584052E-16
3934.5937052003706 6.8846407E-16
3935.5010138186867 6.807222399999999E-16
3936.4063706550796 9.163401E-16
3937.314097270046 7.3127074E-16
3938.219871203905 5.795141700000001E-16
3939.128016008093 8.150987E-16
3940.034207231573 1.0883729E-15
3940.9406069231536 1.2027799999999998E-15
3941.849379122989 7.865898E-16
3942.7561963924777 9.115275E-16
3943.665387263235 8.922448E-16
3944.5726223030097 9.91474E-16
3945.48223203757 1.1210079E-15
3946.389885040098 7.2177277E-16
3947.297746847006 6.033376E-16
3948.207984989267 1.0355759000000001E-15
3949.116265047679 1.0989528E-15
3950.026922536221 8.192634E-16
3950.9356210388255 6.325947E-16
3951.8466980668404 1.5236614E-15
3952.7558152064144 1.2127883E-15
3953.6651414871912 1.5828231E-15
3954.5768479365934 2.3730699999999997E-15
3955.486593143557 2.5651948999999997E-15
3956.398719615688 2.7428307E-15
3957.308883941837 3.1516079E-15
3958.221430630201 2.8826138E-15
3959.132014268624 2.0058796000000002E-15
3960.044981366815 1.6730025999999999E-15
3960.9559845106883 1.2155699E-15
3961.8671972296374 4.723323E-16
3962.780795054978 6.366464599999999E-16
3963.6924275691954 5.128059E-16
3964.606446288621 5.733392E-16
3965.518498791505 6.519872E-16
3966.4329385989217 5.705849E-16
3967.3454112839613 6.477735E-16
3968.2580938821434 6.6740623E-16
3969.173165434137 5.866749E-16
3970.086268504759 8.474778E-16
3971.001761629783 9.388859E-16
3971.915285366557 6.562206299999999E-16
3972.831200258829 8.348062999999999E-16
3973.7451448555557 1.0482555E-15
3974.659299704035 1.0282394E-15
3975.5758473599535 6.67969E-16
3976.4904233591387 4.0543237000000003E-16
3977.4073932681276 9.504988E-16
3978.3223906120415 8.831378000000001E-16
3979.239782968633 4.465789299999999E-16
3980.15520185139 3.5786583E-16
3981.0708313250575 7.4041023E-16
3981.9888574660067 9.230717E-16
3982.9049087697394 9.4639845E-16
3983.8233578448962 1.0415731E-15
3984.73983117303 8.606830000000001E-16
3985.6587033772407 7.211039E-16
3986.5755989242025 1.2481738E-15
3987.4927054017794 8.307491E-16
3988.412212412707 9.066538E-16
3989.329741400804 9.307076E-16
3990.2496720281756 1.0048558999999999E-15
3991.167623721442 9.644646E-16
3992.0879781604176 8.877523E-16
3993.006352753594 5.5986814E-16
3993.9249386176384 7.644089E-16
3994.845928887339 1.2719348999999998E-15
3995.764937943456 6.8475127E-16
3996.6863525129374 8.491374E-16
3997.6057849560907 1.17164135E-15
3998.5276240208273 8.269171999999999E-16
3999.447480046071 5.554993E-16
4000.367547682985 7.115737400000001E-16
4001.290023604107 6.321038200000001E-16
4002.2105151157443 5.234209500000001E-16
4003.133416021086 6.451371E-16
4004.054331602727 8.210826E-16
4004.9776576880777 8.950663E-16
4005.8989975350905 8.276823999999999E-16
4006.8205493351243 9.709830999999999E-16
4007.7445133041747 1.0597708000000001E-15
4008.6664896626858 7.476359E-16
4009.5908793014987 8.050199499999999E-16
4010.5132804140812 8.308165000000001E-16
4011.4380959187624 7.99233E-16
4012.3609219811 9.388439E-16
4013.283960338361 1.1121267E-15
4014.209414755713 1.1515385E-15
4015.1328783563076 1.2270666999999998E-15
4016.0587591300714 1.1851207E-15
4016.9826481699088 1.0565425E-15
4017.908955496506 7.529471400000001E-16
4018.833270171586 8.509045999999999E-16
4019.757797484042 9.931789999999999E-16
4020.684744753942 8.494861E-16
4021.609697995693 6.114513E-16
4022.5370723097603 7.6444516E-16
4023.462451677031 1.0028394E-15
4024.3902532320058 7.5270257E-16
4025.316058921112 9.110344E-16
4026.2420775906007 7.466613999999999E-16
4027.170520121172 6.337898E-16
4028.0969654070227 9.239264E-16
4029.025835670627 9.243531000000002E-16
4029.952707769382 5.593793E-16
4030.882005963077 6.391002699999999E-16
4031.8093050713683 7.5410156E-16
4032.7390313923 5.780058000000001E-16
4033.666757706851 8.027991999999999E-16
4034.594697443621 8.610582999999999E-16
4035.5250660698825 8.735563000000001E-16
4036.4534333080496 8.430348E-16
4037.384230554696 1.0288557000000001E-15
4038.3130254912094 9.230755E-16
4039.244251555706 7.4285083E-16
4040.1734743876063 7.4954643E-16
4041.1029109859983 8.998053E-16
4042.034780391928 1.0203252E-15
4042.96464518132 1.0068285E-15
4043.8969438990434 1.0205511E-15
4044.827237076703 1.302289E-15
4045.759965304004 1.0836252999999999E-15
4046.6906870672897 1.1879193999999999E-15
4047.6216229418937 1.0955725E-15
4048.554995548403 1.2005108999999999E-15
4049.4863603047233 1.0514328E-15
4050.42016291555 8.620207E-16
4051.351956751172 8.128475999999999E-16
4052.286189564419 8.423365E-16
4053.2184126770194 9.746609E-16
4054.1508502463216 6.9911838E-16
4055.085728478227 8.433959E-16
4056.0185956210753 9.308318999999998E-16
4056.953904550938 9.995146999999999E-16
4057.8872014652375 8.38814E-16
4058.822941291481 5.5190163E-16
4059.756668175226 7.551167E-16
4060.6906098616137 9.886151E-16
4061.626996147642 7.860942999999999E-16
4062.5613681005216 8.210566999999999E-16
4063.4981857792677 1.0122104E-15
4064.4329881968633 7.0415473E-16
4065.37023746707 4.529859499999999E-16
4066.305470547696 5.74616E-16
4067.2409187774633 6.0757456E-16
4068.1788155502604 3.8394039E-16
4069.114694740583 4.519865E-16
4070.053023601979 5.114318E-16
4070.9893339514015 3.6612008E-16
4071.928095100459 4.855199E-16
4072.864836807615 7.5618052E-16
4073.8017940109703 4.809098E-16
4074.741203707106 3.7263172E-16
4075.6785925662 8.793915E-16
4076.6184350479375 7.467489999999999E-16
4077.556255761635 6.8474813E-16
4078.4965312283575 7.9687247E-16
4079.4347839956135 1.0280773E-15
4080.3732526066856 1.1011194E-15
4081.314177666659 8.981717E-16
4082.2530786297752 6.7878804E-16
4083.1944371734776 5.970697E-16
4084.1337706878226 9.194943E-16
4085.07556291496 9.852437E-16
4086.015329179809 6.136478399999999E-16
4086.9553116366533 7.8584266E-16
4087.8977545049015 1.0453504E-15
4088.8381700112177 8.170871E-16
4089.7810470624486 7.223386E-16
4090.7218958177423 8.190201999999999E-16
4091.6652072519837 8.439206E-16
4092.6064894558535 1.1421661E-15
4093.547988200457 1.0613458E-15
4094.49195132536 8.238121E-16
4095.4338838179888 8.86136E-16
4096.378281826256 8.669183E-16
4097.320648266737 9.396881E-16
4098.26548135872 1.1799492000000001E-15
4099.208281946973 9.717241E-16
4100.151299425264 9.397394E-16
4101.096785259151 1.05991125E-15
4102.040237185147 7.55577E-16
4102.98615860391 8.853108E-16
4103.93004517776 1.0942076E-15
4104.876402382072 1.0594673E-15
4105.8207238040195 1.4525207999999998E-15
4106.767516994647 9.281785E-16
4107.712273465026 9.865875E-16
4108.65724727539 9.028865E-16
4109.604694562065 7.038201299999999E-16
4110.550103721414 6.7366840000000005E-16
4111.497987496605 8.459254E-16
4112.443832205507 1.0623158999999998E-15
4113.392152670303 7.5166097E-16
4114.338433129414 1.0243532E-15
4115.2849312791 8.596386000000001E-16
4116.233906895068 8.938894E-16
4117.180841096004 1.0218835999999999E-15
4118.130253904588 1.0921099E-15
4119.077624357661 8.570759999999999E-16
4120.0274745602765 8.422811E-16
4120.975281466467 8.653534999999999E-16
4121.923306414392 7.2467775E-16
4122.873812825004 8.453281E-16
4123.822274527573 5.313385E-16
4124.773218836039 7.501207E-16
4125.722117494464 8.189645000000001E-16
4126.673499902521 9.805747E-16
4127.622835718109 8.722797E-16
4128.572389927153 8.901133E-16
4129.524429601738 7.52514E-16
4130.474421269957 5.987364E-16
4131.426899548768 7.5090556E-16
4132.377328877698 9.779355999999999E-16
4133.330245962801 1.0228381E-15
4134.281113154072 9.043673999999998E-16
4135.2321990910905 6.1812916E-16
4136.18577450296 1.0606674E-15
4137.137298604819 9.799816999999999E-16
4138.0913133284275 1.0600106E-15
4139.043275796989 9.875498999999999E-16
4139.99773003473 9.516999E-16
4140.950131071949 8.28067E-16
4141.9027512077755 7.894267E-16
4142.85786483423 9.67484E-16
4143.810923841702 8.210943999999999E-16
4144.766477488551 9.457674E-16
4145.719975569855 9.788852999999999E-16
4146.675969439816 9.629148E-16
4147.629906797235 9.905176E-16
4148.584063606689 1.1530154E-15
4149.540717929026 1.0288968E-15
4150.495314318069 8.239393E-16
4151.452409370599 1.021661E-15
4152.407445541747 1.197688E-15
4153.364981527513 1.0326501999999999E-15
4154.320457683372 1.1104523000000001E-15
4155.276153645265 1.1049550999999998E-15
4156.234351148784 9.066551000000001E-16
4157.1904873993535 9.931142E-16
4158.149126344008 8.657213999999999E-16
4159.105703086096 9.299545E-16
4160.064783675258 8.488714E-16
4161.021801111797 8.97674E-16
4161.979038708939 9.555317E-16
4162.938781882949 8.214347999999999E-16
4163.896460478998 7.978908E-16
4164.856645806234 8.821709E-16
4165.814765604359 7.976618E-16
4166.77539328852 1.0258425E-15
4167.733954491981 1.0774680999999999E-15
4168.692736211187 8.282678999999999E-16
4169.654027549014 6.2627563E-16
4170.613250978504 5.8480115E-16
4171.574985182794 7.0876029999999995E-16
4172.534650526063 6.3016806E-16
4173.4968278008455 4.55323E-16
4174.4569352614835 4.7319417E-16
4175.417263593581 3.2242790000000003E-16
4176.38010559257 2.720052E-16
4177.3408763474745 5.173534E-16
4178.304161927316 5.7958384E-16
4179.265375308852 5.700412E-16
4180.229104673904 6.5264874E-16
4181.190760885988 8.341702E-16
4182.154934240702 9.567156999999999E-16
4183.117033487348 9.900321999999998E-16
4184.079354063661 9.605871E-16
4185.044193521581 8.902082E-16
4186.006957438528 9.380862000000001E-16
4186.97224139753 1.1273865E-15
4187.935448859356 9.475538E-16
4188.901177524219 9.318029E-16
4189.864828735267 8.539583E-16
4190.8287016330105 8.120027E-16
4191.795097475572 8.518129999999999E-16
4192.759414429102 1.1293196999999998E-15
4193.726255489772 1.1012794E-15
4194.691016703665 1.0482406E-15
