# Wavelength Flux
3.852931181825759268e+03 5.217529633182933124e-16
3.860957656994568424e+03 5.127351372756425481e-16
3.868983944584012534e+03 4.291703329154211731e-16
3.877010043573780877e+03 4.030744468936002044e-16
3.885035952943565462e+03 4.955180443315814613e-16
3.893061671673056935e+03 5.193349119068434582e-16
3.901087198741945940e+03 6.566630592497551636e-16
3.909112533129922667e+03 6.085286394344963808e-16
3.917137673816679126e+03 5.636185294951426721e-16
3.925162619781905505e+03 6.986393580495194870e-16
3.933187370005292905e+03 6.795191567193099183e-16
3.941211923466531516e+03 5.971952464625252308e-16
3.949236279145312892e+03 6.582905642549036095e-16
3.957260436021327223e+03 5.252456625787555315e-16
3.965284393074266063e+03 5.891809817360584826e-16
3.973308149283819603e+03 5.502608100439534992e-16
3.981331703629678941e+03 4.904003730012078773e-16
3.989355055091534723e+03 5.382368188980549198e-16
3.997378202649078048e+03 3.983541310414237962e-16
4.005401145281999561e+03 4.884235549055650740e-16
4.013423881969989907e+03 3.680649666252398358e-16
4.021446411692740639e+03 4.813084568473714358e-16
4.029468733429941494e+03 4.758150294761259693e-16
4.037490846161284480e+03 4.616394454225495422e-16
4.045512748866459333e+03 4.360735373006717191e-16
4.053534440525157152e+03 4.384277585547957932e-16
4.061555920117069491e+03 3.310007480084461147e-16
4.069577186621886540e+03 4.058505941345477703e-16
4.077598239019298944e+03 5.322341071725303512e-16
4.085619076288997803e+03 4.273996368888484230e-16
4.093639697410673762e+03 4.059302954038693877e-16
4.101660101364018374e+03 5.332204866475493385e-16
4.109680287128721830e+03 4.561002337273184872e-16
4.117700253684474774e+03 5.054768924539034544e-16
4.125720000010967851e+03 4.590337601988668050e-16
4.133739525087892616e+03 4.882390252868360371e-16
4.141758827894940623e+03 4.017987986004869565e-16
4.149777907411800697e+03 4.461416205934482183e-16
4.157796762618164394e+03 4.230337202332647535e-16
4.165815392493723266e+03 4.622625358781302577e-16
4.173833796018167050e+03 4.322834830464630884e-16
4.181851972171187299e+03 3.014488650214073231e-16
4.189869919932474659e+03 4.002244077743522824e-16
4.197887638281720683e+03 3.728054727801606610e-16
4.205905126198615108e+03 5.343357233642153663e-16
4.213922382662849486e+03 3.876740043970651941e-16
4.221939406654113554e+03 4.839733447301242181e-16
4.229956197152098866e+03 4.750565042832300465e-16
4.237972753136496976e+03 5.195875171465702789e-16
4.245989073586997620e+03 4.656342392371522376e-16
4.254005157483292351e+03 4.842280809454233997e-16
4.262021003805070904e+03 4.636023058142572553e-16
4.270036611532024835e+03 4.937975631305013209e-16
4.278051979643845698e+03 6.246079583820908336e-16
4.286067107120223227e+03 4.615954639605964518e-16
4.294081992940848068e+03 6.759106419317244781e-16
4.302096636085411774e+03 5.933420106431802131e-16
4.310111035533605900e+03 7.395409511959433154e-16
4.318125190265119272e+03 7.699417023988201410e-16
4.326139099259644354e+03 1.102370127165764743e-15
4.334152761496870880e+03 1.276993197586217651e-15
4.342166175956490406e+03 1.358877634657311266e-15
4.350179341618193575e+03 1.158018191182305835e-15
4.358192257461671034e+03 9.274592318885476287e-16
4.366204922466613425e+03 8.691788117914694633e-16
4.374217335612712304e+03 7.323000217984500061e-16
4.382229495879658316e+03 7.169594911246919218e-16
4.390241402247142105e+03 6.525684417106718485e-16
4.398253053694854316e+03 5.479541919106087811e-16
4.406264449202484684e+03 5.920291992402321114e-16
4.414275587749726583e+03 4.413330062107498960e-16
4.422286468316268838e+03 5.924133468551490895e-16
4.430297089881803004e+03 4.153402197618004127e-16
4.438307451426020634e+03 5.398877942880880243e-16
4.446317551928610555e+03 4.036775702192486812e-16
4.454327390369265231e+03 5.040719066881342110e-16
4.462336965727674396e+03 3.971899850751299825e-16
4.470346276983530515e+03 4.490360896012352592e-16
4.478355323116523323e+03 3.554661352843194147e-16
4.486364103106343464e+03 4.521590895472620781e-16
4.494372615932681583e+03 4.091761220603070582e-16
4.502380860575229235e+03 4.040480723547096497e-16
4.510388836013677064e+03 5.066912368795807475e-16
4.518396541227715716e+03 4.188691309740355496e-16
4.526403975197035834e+03 4.370729869825928129e-16
4.534411136901328064e+03 4.267634284449513637e-16
4.542418025320284869e+03 3.655332020659405881e-16
4.550424639433595075e+03 4.738614558725213860e-16
4.558430978220950237e+03 4.375203639767212288e-16
4.566437040662040999e+03 3.980053566733325221e-16
4.574442825736558916e+03 5.067865019273950921e-16
4.582448332424193723e+03 5.424302352155899442e-16
4.590453559704636973e+03 4.717727392593123374e-16
4.598458506557579312e+03 4.205739545911145355e-16
4.606463171962712295e+03 4.043842829855737098e-16
4.614467554899725656e+03 3.299053779246873255e-16
4.622471654348310039e+03 4.722671357898919499e-16
4.630475469288157001e+03 4.124208302026199615e-16
4.638478998698957184e+03 3.156820981983154023e-16
4.646482241560401235e+03 4.938612454371632203e-16
4.654485196852180707e+03 5.284524548076207770e-16
4.662487863553985335e+03 5.219805461924208984e-16
4.670490240645506674e+03 4.543385433897527333e-16
4.678492327106435368e+03 3.786870305607141358e-16
4.686494121916462063e+03 4.255499178176404618e-16
4.694495624055278313e+03 4.226971289941408340e-16
4.702496832502572943e+03 3.502354931723774284e-16
4.710497746238039326e+03 3.971898249676112775e-16
4.718498364241366289e+03 3.729114486852448386e-16
4.726498685492246295e+03 3.829779260953975525e-16
4.734498708970369989e+03 3.365476791052388960e-16
4.742498433655426197e+03 2.604795623822058345e-16
4.750497858527107383e+03 4.325276326476979163e-16
4.758496982565105100e+03 3.614574692779569174e-16
4.766495804749108174e+03 4.151798105785347203e-16
4.774494324058809070e+03 2.843384632481426489e-16
4.782492539473897523e+03 2.823088337064516329e-16
4.790490449974065086e+03 4.114808467574709448e-16
4.798488054539002405e+03 2.969869081455601159e-16
4.806485352148400125e+03 3.419453284697957859e-16
4.814482341781947980e+03 3.125491716055709887e-16
4.822479022419339344e+03 3.196244961480980879e-16
4.830475393040263043e+03 2.696843729026124466e-16
4.838471452624410631e+03 3.557901289570212461e-16
4.846467200151472753e+03 3.469193413273045182e-16
4.854462634601140962e+03 3.833531357247558344e-16
4.862457754953104086e+03 3.030881416790142625e-16
4.870452560187055496e+03 3.129724973849805591e-16
4.878447049282684929e+03 3.372555361063373325e-16
4.886441221219682120e+03 3.143150557134441268e-16
4.894435074977738623e+03 2.875049032340069125e-16
4.902428609536546901e+03 2.940272849503216452e-16
4.910421823875795781e+03 3.842601515785385564e-16
4.918414716975175907e+03 3.991247833382705097e-16
4.926407287814379742e+03 4.206138540999143331e-16
4.934399535373097024e+03 3.009468125774483139e-16
4.942391458631018395e+03 3.665468854188381828e-16
4.950383056567834501e+03 3.609750628585621325e-16
4.958374328163237806e+03 2.921291731596697731e-16
4.966365272396917135e+03 3.668022656294257569e-16
4.974355888248564952e+03 4.316633291700655620e-16
4.982346174697871902e+03 3.114812364729550764e-16
4.990336130724526811e+03 3.367249182174913071e-16
4.998325755308223052e+03 4.145162237477503346e-16
5.006315047428649450e+03 3.318939908507494854e-16
5.014304006065498470e+03 3.228856121150604394e-16
5.022292630198459847e+03 3.800546958095805100e-16
