# Wavelength Flux
3.250485578588953103e+03 9.070783069255511423e-16
3.252494997879693074e+03 1.392699765623567303e-15
3.254504410277249008e+03 4.324096028782748102e-16
3.256513815765678373e+03 5.728631282413149105e-16
3.258523214329039547e+03 -1.425695463542094429e-15
3.260532605951389087e+03 7.713906610923844836e-16
3.262541990616785370e+03 1.736617310322929576e-15
3.264551368309285408e+03 1.425107589838706579e-15
3.266560739012948034e+03 7.405384057029031603e-17
3.268570102711829804e+03 3.245885153298456076e-16
3.270579459389989097e+03 4.782069438725956824e-16
3.272588809031483379e+03 3.814712500452263679e-16
3.274598151620370118e+03 8.707914321979606743e-16
3.276607487140706780e+03 -6.773915830090477608e-16
3.278616815576551744e+03 8.394623301137393575e-16
3.280626136911962476e+03 2.373583540771632735e-16
3.282635451130995989e+03 5.866790784967110299e-16
3.284644758217710660e+03 7.303737963306807298e-16
3.286654058156163956e+03 1.046090364812621315e-16
3.288663350930413799e+03 9.942899753289477599e-17
3.290672636524517202e+03 2.110123842180867562e-16
3.292681914922532542e+03 8.897811981659873546e-16
3.294691186108516831e+03 6.087932317244762556e-16
3.296700450066528447e+03 4.860379233323235761e-16
3.298709706780624401e+03 1.133098174070468181e-15
3.300718956234862617e+03 8.923843586867774542e-16
3.302728198413301016e+03 1.175394757428303081e-16
3.304737433299996610e+03 5.344602466687725962e-16
3.306746660879008232e+03 2.979409100724902031e-16
3.308755881134391984e+03 6.854926109549175512e-16
3.310765094050207153e+03 7.473058999555693396e-16
3.312774299610509843e+03 6.488806694496367754e-16
3.314783497799359338e+03 6.845449176798543488e-16
3.316792688600811744e+03 7.725093362623608836e-16
3.318801871998925890e+03 3.526501666169801549e-16
3.320811047977758790e+03 9.763508266822324978e-16
3.322820216521368820e+03 5.156262818748914703e-16
3.324829377613812539e+03 8.536257028555912936e-16
3.326838531239148779e+03 5.816497281580792496e-16
3.328847677381434096e+03 1.102105465336127620e-15
3.330856816024727323e+03 6.097531561329755629e-16
3.332865947153085017e+03 9.171416173107114986e-16
3.334875070750566010e+03 9.772535063650453186e-16
3.336884186801226861e+03 8.452431769226776926e-16
3.338893295289125490e+03 4.976746175546521020e-16
3.340902396198320275e+03 2.293597638981065018e-16
3.342911489512868229e+03 5.695801728781223770e-16
3.344920575216827274e+03 3.096283614341593452e-16
3.346929653294254877e+03 1.306645596425832802e-15
3.348938723729208959e+03 5.283583981588031466e-16
3.350947786505746990e+03 1.040464420585795430e-15
3.352956841607926890e+03 6.401227175341501241e-16
3.354965889019806127e+03 6.803601876150106359e-16
3.356974928725442169e+03 6.936429588298678537e-16
3.358983960708892937e+03 5.332863888648635646e-16
3.360992984954215899e+03 1.259501167406330500e-15
3.363002001445469432e+03 8.274627381566658033e-16
3.365011010166710093e+03 1.224118267665344434e-15
3.367020011101996261e+03 1.399845136334227414e-15
3.369029004235385855e+03 3.694259025176081819e-16
3.371037989550935890e+03 1.268853458265911628e-15
3.373046967032704288e+03 1.025614499102492332e-15
3.375055936664748515e+03 1.282088955865553848e-15
3.377064898431126949e+03 1.376063335928619754e-15
3.379073852315896147e+03 1.504803137550125153e-15
3.381082798303114942e+03 1.365464992720381698e-15
3.383091736376840345e+03 1.872609574799652947e-15
3.385100666521129824e+03 1.373270267013479581e-15
3.387109588720041756e+03 1.606148301777181531e-15
3.389118502957633154e+03 1.539945563626181888e-15
3.391127409217962395e+03 1.783722145747107020e-15
3.393136307485086036e+03 2.298396976501899446e-15
3.395145197743062909e+03 2.321285980138206687e-15
3.397154079975950026e+03 2.240364037983310272e-15
3.399162954167805310e+03 2.902424652564591031e-15
3.401171820302686228e+03 2.995665254240054485e-15
3.403180678364650703e+03 2.794885800072668199e-15
3.405189528337756201e+03 3.066472896796968128e-15
3.407198370206060190e+03 3.093587245700447690e-15
3.409207203953621047e+03 3.141863019433159250e-15
3.411216029564495784e+03 3.043310940963872036e-15
3.413224847022742324e+03 2.821422269236665832e-15
3.415233656312418134e+03 2.435086988427183369e-15
3.417242457417581136e+03 2.129427652820199431e-15
3.419251250322288797e+03 1.900912257090213134e-15
3.421260035010599040e+03 1.886401313241802400e-15
3.423268811466569332e+03 1.886602708810832648e-15
3.425277579674257595e+03 1.727086751848671096e-15
3.427286339617721296e+03 1.373319155733019762e-15
3.429295091281017903e+03 1.651898553401698727e-15
3.431303834648205338e+03 1.763323293716850905e-15
3.433312569703341069e+03 1.191236313822129575e-15
3.435321296430483017e+03 1.458472775251147384e-15
3.437330014813689104e+03 1.395591109858873633e-15
3.439338724837016343e+03 8.667334785077133533e-16
3.441347426484522657e+03 8.643867219280788301e-16
3.443356119740265967e+03 5.021162944942796529e-16
3.445364804588303741e+03 6.265120828640282640e-16
3.447373481012693446e+03 9.334573305299203441e-16
3.449382148997493005e+03 9.223316522051104216e-16
3.451390808526759884e+03 7.482025449001234496e-16
3.453399459584552460e+03 7.817366599083280203e-16
3.455408102154927292e+03 1.263118511846808946e-15
3.457416736221942756e+03 1.075214293393206287e-15
3.459425361769656320e+03 8.006237186344191592e-16
3.461433978782125905e+03 1.231763726294546819e-15
3.463442587243408980e+03 1.100871605289433250e-15
3.465451187137563011e+03 1.209228592151832873e-15
3.467459778448645920e+03 1.140001556915455550e-15
3.469468361160715176e+03 9.374339493303292806e-16
3.471476935257829155e+03 1.368797019892762071e-15
3.473485500724044414e+03 8.987241192628853977e-16
3.475494057543419331e+03 1.024548037816094604e-15
3.477502605700011372e+03 8.809373927308351458e-16
3.479511145177878461e+03 1.024836041699731601e-15
3.481519675961078065e+03 1.253184786982984220e-15
3.483528198033667650e+03 1.005840316579728804e-15
3.485536711379705139e+03 1.085958688461383640e-15
3.487545215983247999e+03 8.780365968861598046e-16
3.489553711828354608e+03 9.259009061615680538e-16
3.491562198899081523e+03 9.084863285210092268e-16
3.493570677179487120e+03 8.344960739247208265e-16
3.495579146653628868e+03 5.050310793390095497e-16
3.497587607305564234e+03 4.830771543779907414e-16
3.499596059119351594e+03 7.892505224585945257e-16
3.501604502079047961e+03 6.725168524645573719e-16
3.503612936168711258e+03 6.767073679439222901e-16
3.505621361372398951e+03 5.492695416760185466e-16
3.507629777674168963e+03 3.563834725076640802e-16
3.509638185058078761e+03 7.344998764277634214e-16
3.511646583508186268e+03 7.612835977658744847e-16
3.513654973008548950e+03 5.532768576451570756e-16
3.515663353543224275e+03 7.251817467729029229e-16
3.517671725096270620e+03 7.303173620941573771e-16
3.519680087651744543e+03 8.577998040828873620e-16
3.521688441193704875e+03 4.878493768092633757e-16
3.523696785706208630e+03 4.611481152940340514e-16
3.525705121173313728e+03 8.132501845126242966e-16
3.527713447579077638e+03 6.372557979778942957e-16
3.529721764907558281e+03 7.888479264933622757e-16
3.531730073142812671e+03 7.076965252068923571e-16
3.533738372268899184e+03 4.923427318064932782e-16
3.535746662269875742e+03 7.912787785958396525e-16
3.537754943129798903e+03 5.770809430838906137e-16
3.539763214832727044e+03 7.739495365612690993e-16
3.541771477362718088e+03 6.263975797984796877e-16
3.543779730703829046e+03 7.197048958977894282e-16
3.545787974840118295e+03 5.016081206735935587e-16
3.547796209755642849e+03 7.171233015459188858e-16
3.549804435434461084e+03 3.618748014410493165e-16
3.551812651860630012e+03 7.479623678702449606e-16
3.553820859018207102e+03 6.912584849513416707e-16
3.555829056891250730e+03 3.777638997848564176e-16
3.557837245463818817e+03 4.496378136640236717e-16
3.559845424719967923e+03 5.459814797471175998e-16
3.561853594643756423e+03 4.058793540070812576e-16
3.563861755219241786e+03 5.347907844955785879e-16
3.565869906430481933e+03 6.144052815309378431e-16
3.567878048261534332e+03 5.554117677573624819e-16
3.569886180696456904e+03 3.894484878687133641e-16
3.571894303719306663e+03 7.860011902126459718e-16
3.573902417314141985e+03 2.928759317421041345e-16
3.575910521465019883e+03 7.148372019944208272e-16
3.577918616155999189e+03 4.188829730405507360e-16
3.579926701371136005e+03 5.356471545846453632e-16
3.581934777094489164e+03 5.822876345451905018e-16
3.583942843310115677e+03 4.268332003269271234e-16
3.585950900002073922e+03 7.480250285634418470e-16
3.587958947154420912e+03 4.383876282955282031e-16
3.589966984751214568e+03 7.390631685461558219e-16
3.591975012776512358e+03 6.506762713868703600e-16
3.593983031214372659e+03 4.801132686422850161e-16
3.595991040048852028e+03 3.634992374697429237e-16
3.597999039264008843e+03 5.110640024245069332e-16
3.600007028843901026e+03 5.926685329246894731e-16
3.602015008772585134e+03 5.386046939859720202e-16
3.604022979034119999e+03 3.333253417207390244e-16
3.606030939612563088e+03 4.527705459140537813e-16
3.608038890491971870e+03 6.362004236201179829e-16
3.610046831656403356e+03 5.900973808355174351e-16
3.612054763089916378e+03 5.952828951354812920e-16
3.614062684776567949e+03 4.672267685526489825e-16
3.616070596700415990e+03 5.274281825535958067e-16
3.618078498845517515e+03 5.533889162098588159e-16
3.620086391195931355e+03 4.410028655901232701e-16
3.622094273735714069e+03 6.227046949370300501e-16
3.624102146448924032e+03 4.550673071542629813e-16
3.626110009319618712e+03 6.082488332247188088e-16
3.628117862331855576e+03 5.016499593647850244e-16
3.630125705469692548e+03 4.684526190340239173e-16
3.632133538717187093e+03 4.679340010186214388e-16
3.634141362058397135e+03 5.725301180029979624e-16
3.636149175477380595e+03 6.590667242524670015e-16
3.638156978958194031e+03 4.870581710899029513e-16
3.640164772484896275e+03 5.849420643322460248e-16
3.642172556041544340e+03 5.530997955426349261e-16
3.644180329612196147e+03 5.024491969462873449e-16
3.646188093180909618e+03 6.151035113821995144e-16
3.648195846731741767e+03 4.389792586294474314e-16
3.650203590248750970e+03 6.659609580773354496e-16
3.652211323715994240e+03 4.890270297366140589e-16
3.654219047117529954e+03 3.946842270514232333e-16
3.656226760437415123e+03 5.400471634236632193e-16
3.658234463659707671e+03 7.007889604477262741e-16
3.660242156768465065e+03 6.153325228888583546e-16
3.662249839747745682e+03 5.003328329006565074e-16
3.664257512581606534e+03 4.530799963700964395e-16
3.666265175254105088e+03 6.737653886919492474e-16
3.668272827749299722e+03 6.008866475005948012e-16
3.670280470051247903e+03 6.329204452165493754e-16
3.672288102144006643e+03 4.604078600518890139e-16
3.674295724011634775e+03 4.358795891556193302e-16
3.676303335638188855e+03 4.271628121274119813e-16
3.678310937007727262e+03 5.911684743713437069e-16
3.680318528104307006e+03 5.063727833860835491e-16
3.682326108911986921e+03 4.873779632147278155e-16
3.684333679414823109e+03 5.637409309998880959e-16
3.686341239596874402e+03 4.289766001686945932e-16
3.688348789442198267e+03 5.528763061267540887e-16
3.690356328934852172e+03 5.200979521958713274e-16
3.692363858058893584e+03 3.344786650756851470e-16
3.694371376798380879e+03 4.198652360768530449e-16
3.696378885137371071e+03 4.756625064917242029e-16
3.698386383059921627e+03 5.219804961406673919e-16
3.700393870550090924e+03 4.128329298538586461e-16
3.702401347591936428e+03 5.274499002613397966e-16
3.704408814169515608e+03 5.435793053487993620e-16
3.706416270266886386e+03 6.165702464254805636e-16
3.708423715868106228e+03 6.926170604471131855e-16
3.710431150957233058e+03 4.322466884510765699e-16
3.712438575518323887e+03 5.234800493334913908e-16
3.714445989535437093e+03 5.385069026118436278e-16
3.716453392992630143e+03 4.030626471097106752e-16
3.718460785873960504e+03 4.894901524469274739e-16
3.720468168163486098e+03 5.214286767807754125e-16
3.722475539845264393e+03 5.662484148837921807e-16
3.724482900903353311e+03 6.361178306117194937e-16
3.726490251321810319e+03 6.960086884666871957e-16
3.728497591084693340e+03 5.073631648883225855e-16
3.730504920176059386e+03 5.175503545695143972e-16
3.732512238579966834e+03 4.280235983586186370e-16
3.734519546280473151e+03 5.579262833249303422e-16
3.736526843261635804e+03 3.614981101286589757e-16
3.738534129507512716e+03 4.454912116053638380e-16
3.740541405002161355e+03 8.388200904495953718e-16
3.742548669729639641e+03 5.265869692934188618e-16
3.744555923674005044e+03 4.964863778055925553e-16
3.746563166819315484e+03 5.156736572716492106e-16
3.748570399149627974e+03 5.449083469256637193e-16
3.750577620649000892e+03 4.527515112785422052e-16
3.752584831301491704e+03 4.762158552530633562e-16
3.754592031091157878e+03 4.978208712796290362e-16
3.756599220002057336e+03 6.148472375243895344e-16
3.758606398018247546e+03 5.138709685323574464e-16
3.760613565123786429e+03 3.552380312836135499e-16
3.762620721302730999e+03 3.450883494260949193e-16
3.764627866539140086e+03 5.741380967722639273e-16
3.766635000817070249e+03 4.195572150632264288e-16
3.768642124120579865e+03 4.342729182545727914e-16
3.770649236433726401e+03 4.538150502717362045e-16
3.772656337740567324e+03 6.968512974769278265e-16
3.774663428025160101e+03 5.467068102161175618e-16
3.776670507271563110e+03 5.760962438147534692e-16
3.778677575463833819e+03 5.268609585038616625e-16
3.780684632586029238e+03 4.078162871314685079e-16
3.782691678622208201e+03 2.012784197244860664e-16
3.784698713556426810e+03 2.626410018513071357e-16
3.786705737372744352e+03 3.168471249445800919e-16
3.788712750055217839e+03 6.103994924759802813e-16
3.790719751587904284e+03 3.415965824211842099e-16
3.792726741954862518e+03 3.945797177520660521e-16
3.794733721140149100e+03 4.112166935539011185e-16
3.796740689127822861e+03 5.641556502582932502e-16
3.798747645901940359e+03 3.626313958351118526e-16
3.800754591446559971e+03 7.120140801866893193e-16
3.802761525745739164e+03 4.496970079767045399e-16
3.804768448783535405e+03 3.432069545785067527e-16
3.806775360544006617e+03 4.999391085965636521e-16
3.808782261011210721e+03 5.955219540425118963e-16
3.810789150169204731e+03 4.689063299243695692e-16
3.812796028002047024e+03 4.538286661537917705e-16
3.814802894493794611e+03 4.638032955006679888e-16
3.816809749628505415e+03 4.908557815922225760e-16
3.818816593390236903e+03 5.263031133420425790e-16
3.820823425763047453e+03 5.418495217134422789e-16
3.822830246730994077e+03 6.252044497657366806e-16
3.824837056278134696e+03 3.760410154748347132e-16
3.826843854388526779e+03 3.879599614178094048e-16
3.828850641046228247e+03 5.078841443635329449e-16
3.830857416235296569e+03 8.166031019928657098e-16
3.832864179939789210e+03 4.246165264314449792e-16
3.834870932143764549e+03 5.724177294300437117e-16
3.836877672831279597e+03 6.695446026609846089e-16
3.838884401986392731e+03 6.344680059729285788e-16
3.840891119593160511e+03 5.863390905565593589e-16
3.842897825635641311e+03 6.111693434320607047e-16
3.844904520097893055e+03 5.073869562692296707e-16
3.846911202963973210e+03 4.590722548443513055e-16
3.848917874217939243e+03 4.163384083194924408e-16
3.850924533843848621e+03 4.041039282790980435e-16
3.852931181825759268e+03 4.482035279250506031e-16
3.854937818147729104e+03 5.306734417924114642e-16
3.856944442793815142e+03 5.621009347209789433e-16
3.858951055748076215e+03 4.217182229885945622e-16
3.860957656994568424e+03 4.759508753924149261e-16
3.862964246517351057e+03 5.825608775465041231e-16
3.864970824300480672e+03 3.195313746810049004e-16
3.866977390328015190e+03 4.970113627363301206e-16
3.868983944584012534e+03 6.178463087287733755e-16
3.870990487052529716e+03 4.729755531409608827e-16
3.872997017717625567e+03 5.656120574069270930e-16
3.875003536563356647e+03 3.065544927927859235e-16
3.877010043573780877e+03 4.079096646084681843e-16
3.879016538732956633e+03 5.493171804527833172e-16
3.881023022024940474e+03 6.500075397381099478e-16
3.883029493433791231e+03 4.613315240409852150e-16
3.885035952943565462e+03 5.459015389495791218e-16
3.887042400538321999e+03 5.017869402734068378e-16
3.889048836202116945e+03 5.316303528425203071e-16
3.891055259919009586e+03 6.882511890592783162e-16
3.893061671673056935e+03 6.803352675356826353e-16
3.895068071448316459e+03 7.252651436028352729e-16
3.897074459228845626e+03 5.355703944887586449e-16
3.899080834998703267e+03 6.351152666591867056e-16
3.901087198741945940e+03 5.027260821028256936e-16
3.903093550442631113e+03 6.397702841372792203e-16
3.905099890084817616e+03 7.629353503605301190e-16
3.907106217652562009e+03 5.464705005374300219e-16
3.909112533129922667e+03 4.836869172355224889e-16
3.911118836500957059e+03 7.817901143348829797e-16
3.913125127749723106e+03 5.732615704595790077e-16
3.915131406860277821e+03 5.114530589819501521e-16
3.917137673816679126e+03 6.134497341509846911e-16
3.919143928602984943e+03 6.140053661953940997e-16
3.921150171203253194e+03 5.797887118550260768e-16
3.923156401601540438e+03 5.427296244596461696e-16
3.925162619781905505e+03 6.676229951600684001e-16
3.927168825728405864e+03 6.292876036146729366e-16
3.929175019425098071e+03 6.159328584193320994e-16
3.931181200856041414e+03 4.950772801478742910e-16
3.933187370005292905e+03 4.623892538026551262e-16
3.935193526856909557e+03 7.509250909883661483e-16
3.937199671394949746e+03 6.544483895780665120e-16
3.939205803603471395e+03 6.110943124493971847e-16
3.941211923466531516e+03 5.317223656148176380e-16
3.943218030968188032e+03 5.342792866452196159e-16
3.945224126092498409e+03 4.576351946169291983e-16
3.947230208823521025e+03 4.559275695717693611e-16
3.949236279145312892e+03 5.375647986029803147e-16
3.951242337041931478e+03 6.020151385870240548e-16
3.953248382497435159e+03 5.658784364880064571e-16
3.955254415495881403e+03 6.229353648856089245e-16
3.957260436021327223e+03 4.379261457143902195e-16
3.959266444057830995e+03 3.187505268156028231e-16
3.961272439589450642e+03 4.922291430582880742e-16
3.963278422600242720e+03 3.957046949738798229e-16
3.965284393074266063e+03 6.486974844723317580e-16
3.967290350995577683e+03 5.976576371680337864e-16
3.969296296348235046e+03 5.204072805372321307e-16
3.971302229116296985e+03 3.318760112146496236e-16
3.973308149283819603e+03 5.778093834708854595e-16
3.975314056834861276e+03 5.925050081589416765e-16
3.977319951753480382e+03 3.547819947228425504e-16
3.979325834023733478e+03 4.734106675387547773e-16
3.981331703629678941e+03 5.163579492002803724e-16
3.983337560555373784e+03 5.164581199801775603e-16
3.985343404784876384e+03 4.696764209507139874e-16
3.987349236302244208e+03 6.751090281676644736e-16
3.989355055091534723e+03 6.382807256924765562e-16
3.991360861136805852e+03 6.938610980891840361e-16
3.993366654422115062e+03 4.900262814718097164e-16
3.995372434931519820e+03 3.292690833656220426e-16
3.997378202649078048e+03 5.685565088277794672e-16
3.999383957558847669e+03 6.206658678136434444e-16
4.001389699644885695e+03 5.676667936794169643e-16
4.003395428891250504e+03 4.784943310869031263e-16
4.005401145281999561e+03 5.237100004116741475e-16
4.007406848801190336e+03 1.998295158848190043e-16
4.009412539432880749e+03 4.746803931015400482e-16
4.011418217161127814e+03 5.866134334160901215e-16
4.013423881969989907e+03 4.924275672996616150e-16
4.015429533843524950e+03 4.026783453173993388e-16
4.017435172765789503e+03 4.348197686364789966e-16
4.019440798720842395e+03 4.374468487674940398e-16
4.021446411692740639e+03 3.020669163902690426e-16
4.023452011665542159e+03 4.368870116092660224e-16
4.025457598623303966e+03 4.796831079336616583e-16
4.027463172550084892e+03 6.879982465581222239e-16
4.029468733429941494e+03 5.460310116316454187e-16
4.031474281246932605e+03 3.465495525947746982e-16
4.033479815985114783e+03 4.758989801863322871e-16
4.035485337628546404e+03 6.484027487988855555e-16
4.037490846161284480e+03 3.886438427183801561e-16
4.039496341567386935e+03 4.545134829405101136e-16
4.041501823830912144e+03 6.307271650766661504e-16
4.043507292935916666e+03 5.014230737238952216e-16
4.045512748866459333e+03 4.695186993144962644e-16
4.047518191606596702e+03 4.594362736494861117e-16
4.049523621140387149e+03 4.874435098785462331e-16
4.051529037451888144e+03 3.173640695008894315e-16
4.053534440525157152e+03 3.881179014777920340e-16
4.055539830344252550e+03 5.225907266202444161e-16
4.057545206893230898e+03 4.060220352027386994e-16
4.059550570156150570e+03 4.679544754269209947e-16
4.061555920117069491e+03 3.223160692775898256e-16
4.063561256760044671e+03 6.120324074139052669e-16
4.065566580069134034e+03 4.624891622418237725e-16
4.067571890028395501e+03 3.604921904031266251e-16
4.069577186621886540e+03 4.114951063725712102e-16
4.071582469833664618e+03 3.317987205880237438e-16
4.073587739647787203e+03 5.357129588399461587e-16
4.075592996048313125e+03 2.800046177630628966e-16
4.077598239019298944e+03 3.932472499921465765e-16
4.079603468544802581e+03 3.464970533326483535e-16
4.081608684608881958e+03 3.484113546612782912e-16
4.083613887195594543e+03 4.557339726779873201e-16
4.085619076288997803e+03 6.558081667749792763e-16
4.087624251873149660e+03 5.267635990088443409e-16
4.089629413932108037e+03 6.626361802845988801e-16
4.091634562449930399e+03 5.019070483457061668e-16
4.093639697410673762e+03 2.186331593685487822e-16
4.095644818798396955e+03 2.380685210401315050e-16
4.097649926597156991e+03 2.411790574331069406e-16
4.099655020791011339e+03 4.390194273388393528e-16
4.101660101364018374e+03 4.606575573832826264e-16
4.103665168300235564e+03 4.585317162823855649e-16
4.105670221583719467e+03 4.448053581064355110e-16
