# Wavelength,Flux
4.554427843306786599e+03 4.156993696487552399e-16
4.564435551015028977e+03 4.169001901580834314e-16
4.574442825736558916e+03 4.519844790988627725e-16
4.584449665478585302e+03 4.404704224092457035e-16
4.594456068248315205e+03 4.808036560769043689e-16
4.604462032052959330e+03 4.629871402964484828e-16
4.614467554899725656e+03 4.539601510643151168e-16
4.624472634795822160e+03 4.181673981198723292e-16
4.634477269748456820e+03 4.328060272864060013e-16
4.644481457764841252e+03 4.045347547359090116e-16
4.654485196852180707e+03 4.436981544521653173e-16
4.664488485017685889e+03 4.608177890030621070e-16
4.674491320268564778e+03 4.491694715932957554e-16
4.684493700612025350e+03 4.006083192568375332e-16
4.694495624055278313e+03 4.152707716063778736e-16
4.704497088605529825e+03 3.743295411440299424e-16
4.714498092269989684e+03 3.544242557606163534e-16
4.724498633055866776e+03 3.802249796907567475e-16
4.734498708970369989e+03 3.531382422836524574e-16
4.744498318020706392e+03 3.668907503996158769e-16
4.754497458214085782e+03 3.379416859242783629e-16
4.764496127557717045e+03 3.500342747791904958e-16
4.774494324058809070e+03 3.358975385774010250e-16
4.784492045724568925e+03 3.405201178030018562e-16
4.794489290562206406e+03 3.265696041194843750e-16
4.804486056578930402e+03 3.389027234609379917e-16
4.814482341781947980e+03 3.535863152531752593e-16
4.824478144178469847e+03 3.326711696952701088e-16
4.834473461775703072e+03 3.385106917468755053e-16
4.844468292580857451e+03 3.306778831304586884e-16
4.854462634601140962e+03 3.259663422495656211e-16
4.864456485843762493e+03 3.232430420917385449e-16
4.874449844315930022e+03 3.257808509592543039e-16
4.884442708024852436e+03 3.671808977981825382e-16
4.894435074977738623e+03 3.334274148182601031e-16
4.904426943181798379e+03 3.428331663516934529e-16
4.914418310644238773e+03 3.361213705352179424e-16
4.924409175372268692e+03 3.472228611530327022e-16
4.934399535373097024e+03 3.420419793135006218e-16
4.944389388653931746e+03 3.277250236537794910e-16
4.954378733221981747e+03 3.236570722613862922e-16
4.964367567084457733e+03 3.445570124658010727e-16
