# Wavelength Flux
5.253812634573607284e+03 3.259370842835587044e-16
5.255807197485965844e+03 3.085967125807140544e-16
5.257801737562809649e+03 2.849555691244373734e-16
5.259796254788196165e+03 2.970931975420119983e-16
5.261790749146181952e+03 2.873088185724697072e-16
5.263785220620826294e+03 4.136273135216851834e-16
5.265779669196186660e+03 2.493130447865376867e-16
5.267774094856320517e+03 3.347585387424925165e-16
5.269768497585284422e+03 4.127021946674056717e-16
5.271762877367138572e+03 2.687890868902900887e-16
5.273757234185937705e+03 3.236008610953653311e-16
5.275751568025741108e+03 3.512695264380519393e-16
5.277745878870606248e+03 3.067370732638461902e-16
5.279740166704590592e+03 3.464612211063403337e-16
5.281734431511752518e+03 4.110229315438622104e-16
5.283728673276149493e+03 3.712832003897685371e-16
5.285722891981837165e+03 3.007037791632823500e-16
5.287717087612876639e+03 4.077358558511571048e-16
5.289711260153322655e+03 3.623843581158271134e-16
5.291705409587235408e+03 3.619436704342100952e-16
5.293699535898669637e+03 3.871032231598381984e-16
5.295693639071685539e+03 2.711098206197063630e-16
5.297687719090339669e+03 3.747413530549931348e-16
5.299681775938690407e+03 3.432165189435287999e-16
5.301675809600794310e+03 3.582910601093078276e-16
5.303669820060708844e+03 3.724804337121949365e-16
5.305663807302493296e+03 4.097259147036806709e-16
5.307657771310205135e+03 3.553208458189266810e-16
5.309651712067900007e+03 3.075764341783419674e-16
5.311645629559638110e+03 3.733163034837904514e-16
5.313639523769474181e+03 4.213883875713986413e-16
5.315633394681469326e+03 3.829556598763036096e-16
5.317627242279679194e+03 3.906146933607740018e-16
5.319621066548161252e+03 3.816504785641155889e-16
5.321614867470974787e+03 3.578552042757735124e-16
5.323608645032174536e+03 4.285356238610072807e-16
5.325602399215822516e+03 3.874038615925259579e-16
5.327596130005971645e+03 4.223680829493171247e-16
5.329589837386683939e+03 4.194280763940391431e-16
5.331583521342014137e+03 3.428413738800695700e-16
5.333577181856019706e+03 4.109927850332079775e-16
5.335570818912759933e+03 4.804041143097033453e-16
5.337564432496292284e+03 4.459258770507109601e-16
5.339558022590674227e+03 4.820215695567964514e-16
5.341551589179963230e+03 3.911378398882983074e-16
5.343545132248216760e+03 4.239056830393227122e-16
5.345538651779492284e+03 5.738742935018705182e-16
5.347532147757849089e+03 5.087787505645809305e-16
5.349525620167343732e+03 4.740205628420105040e-16
5.351519068992032771e+03 4.318161575642556153e-16
5.353512494215974584e+03 4.583519992017198766e-16
5.355505895823228457e+03 4.234883558045926701e-16
5.357499273797850037e+03 4.070271323762583938e-16
5.359492628123898612e+03 3.959491293901541301e-16
5.361485958785429830e+03 3.267892347411051405e-16
5.363479265766502976e+03 3.548407676468020084e-16
5.365472549051175520e+03 2.979372294337554662e-16
5.367465808623504927e+03 3.549872745662515103e-16
5.369459044467548665e+03 3.696467641439893731e-16
5.371452256567363293e+03 4.824591456988222054e-16
5.373445444907009005e+03 4.412229649055021623e-16
5.375438609470542360e+03 3.478492817490766514e-16
5.377431750242019916e+03 3.240895206972166602e-16
5.379424867205501869e+03 3.424926433903318245e-16
5.381417960345042957e+03 3.368752695807767111e-16
5.383411029644703376e+03 4.047131216827096354e-16
5.385404075088537866e+03 3.250378717795560552e-16
5.387397096660607531e+03 4.072215181378211702e-16
5.389390094344968020e+03 3.477652239613880008e-16
5.391383068125676800e+03 3.041016791770578823e-16
5.393376017986791339e+03 4.056662503049189753e-16
5.395368943912371833e+03 3.058432502448893572e-16
5.397361845886473020e+03 3.072643305574328768e-16
5.399354723893154187e+03 4.105790417266199799e-16
5.401347577916471892e+03 3.212296083481548139e-16
5.403340407940484511e+03 2.686615023168826419e-16
5.405333213949250421e+03 3.471964943905083561e-16
5.407325995926827090e+03 3.492104535330314755e-16
5.409318753857270167e+03 3.278016208438059310e-16
5.411311487724638937e+03 2.882790336003659535e-16
5.413304197512991777e+03 3.082915561467832127e-16
5.415296883206385246e+03 3.017165492649715841e-16
5.417289544788876810e+03 3.844354722391152359e-16
5.419282182244523938e+03 3.021850866719488624e-16
5.421274795557386824e+03 2.467810394017359248e-16
5.423267384711520208e+03 2.624582299278064597e-16
5.425259949690982467e+03 2.514234734569909454e-16
5.427252490479831977e+03 2.429629476017862981e-16
5.429245007062125296e+03 3.383689628912308854e-16
5.431237499421921711e+03 1.873616827609801788e-16
5.433229967543276871e+03 2.547563110879638736e-16
5.435222411410251880e+03 3.044832000019914155e-16
5.437214831006900567e+03 2.974935529360501423e-16
5.439207226317282220e+03 1.819974344390178301e-16
5.441199597325454306e+03 2.927421013792022190e-16
5.443191944015474292e+03 2.582653517927116043e-16
5.445184266371401463e+03 2.421401939816352893e-16
5.447176564377290561e+03 3.164197152820077889e-16
5.449168838017201779e+03 3.817615405446154521e-16
5.451161087275192585e+03 3.257955276346316420e-16
5.453153312135319538e+03 4.115680631503231784e-16
5.455145512581640105e+03 2.714925121818453870e-16
5.457137688598213572e+03 3.108160700823909083e-16
5.459129840169095587e+03 2.576762536488074990e-16
5.461121967278345437e+03 2.534778728330460474e-16
5.463114069910019680e+03 2.513672431849451789e-16
5.465106148048176692e+03 2.746731166220620209e-16
5.467098201676874851e+03 2.054350498833954820e-16
5.469090230780169804e+03 2.614726159032347509e-16
5.471082235342120839e+03 2.409256051623861345e-16
5.473074215346785422e+03 2.010402953770338806e-16
5.475066170778220112e+03 2.286596018059247504e-16
5.477058101620484194e+03 3.872981314440907883e-16
5.479050007857634228e+03 2.760715300571838249e-16
5.481041889473728588e+03 2.964832929557344966e-16
5.483033746452823834e+03 3.029861103951365119e-16
5.485025578778979252e+03 2.780637110097511772e-16
5.487017386436251400e+03 3.150340174523452379e-16
5.489009169408696835e+03 2.845895628680647841e-16
5.491000927680375753e+03 3.108691901593215124e-16
5.492992661235344713e+03 2.230504281850378541e-16
5.494984370057662090e+03 2.971661540321358634e-16
5.496976054131382625e+03 2.704560451566661813e-16
5.498967713440568332e+03 2.807347982758210366e-16
5.500959347969273040e+03 2.782838015269810581e-16
5.502950957701556035e+03 2.701209824427682497e-16
5.504942542621476605e+03 3.152290245863170269e-16
5.506934102713089487e+03 2.422710855929318596e-16
5.508925637960453969e+03 3.057163029242426806e-16
5.510917148347627517e+03 2.852341299113632911e-16
5.512908633858667599e+03 2.594782491481046686e-16
5.514900094477632592e+03 2.966530300295886887e-16
5.516891530188579054e+03 2.847835512968980435e-16
5.518882940975564452e+03 2.761449356461710893e-16
5.520874326822648072e+03 3.835514102467870316e-16
5.522865687713886473e+03 2.532151618708976118e-16
5.524857023633338031e+03 3.483113290084758382e-16
5.526848334565059304e+03 2.827378334254562444e-16
5.528839620493108669e+03 2.724942571028715829e-16
5.530830881401543593e+03 2.665037282110132130e-16
5.532822117274421544e+03 2.252774570769820649e-16
5.534813328095800898e+03 2.073828310081847597e-16
5.536804513849740033e+03 3.035847746787925266e-16
5.538795674520293687e+03 2.890581972223516643e-16
5.540786810091522966e+03 2.864212614922196893e-16
5.542777920547482609e+03 3.425336765949619173e-16
5.544769005872232810e+03 3.012692351574990402e-16
5.546760066049828310e+03 3.058779656064371405e-16
5.548751101064330214e+03 1.962941598385044163e-16
5.550742110899793261e+03 2.669053028177360544e-16
5.552733095540277645e+03 2.099946634132488725e-16
5.554724054969839017e+03 2.382425170509596575e-16
5.556714989172534843e+03 2.517980904479059707e-16
5.558705898132425318e+03 2.800599294678042316e-16
5.560696781833565183e+03 3.066119260317966509e-16
5.562687640260013723e+03 3.359614242378759378e-16
5.564678473395829315e+03 2.403486787918407800e-16
5.566669281225067607e+03 2.928239308541409948e-16
5.568660063731787886e+03 1.790270574130761164e-16
5.570650820900047620e+03 2.157912199392000536e-16
5.572641552713902456e+03 3.031087650875301664e-16
5.574632259157412591e+03 2.233644292715874212e-16
5.576622940214634582e+03 2.924234754538771292e-16
5.578613595869626806e+03 2.929951977866015536e-16
5.580604226106446731e+03 3.145839508863912841e-16
5.582594830909150915e+03 3.103338945950862217e-16
5.584585410261797733e+03 3.724271028080236563e-16
5.586575964148445564e+03 2.924008169300678941e-16
5.588566492553150965e+03 3.333666545123270189e-16
5.590556995459972313e+03 2.554713076330166896e-16
5.592547472852967985e+03 3.079942375274979927e-16
5.594537924716192720e+03 2.842261573903291918e-16
5.596528351033708532e+03 2.631967197936567321e-16
5.598518751789569251e+03 2.254536018541231783e-16
5.600509126967834163e+03 1.771785995572714964e-16
5.602499476552560736e+03 2.684556846619121781e-16
5.604489800527808256e+03 2.085701488104035260e-16
5.606480098877630553e+03 3.038787646523919378e-16
5.608470371586088731e+03 2.437540176681121588e-16
5.610460618637240259e+03 2.729951284932853226e-16
5.612450840015140784e+03 2.295411002412450320e-16
5.614441035703848684e+03 3.235508931325008234e-16
5.616431205687422334e+03 2.229699926944388833e-16
5.618421349949920113e+03 2.980040962075480053e-16
5.620411468475397669e+03 3.405008373197126520e-16
5.622401561247914287e+03 3.077701209617669368e-16
5.624391628251526527e+03 3.278678073589310032e-16
5.626381669470292763e+03 2.262004070416230852e-16
5.628371684888270465e+03 1.780611933408148510e-16
