# Wavelength Flux
3.250485578588953103e+03 8.807174547655226388e-16
3.252494997879693074e+03 1.252014611247384693e-15
3.254504410277249008e+03 2.939127531628620937e-16
3.256513815765678373e+03 5.846535292875863230e-16
3.258523214329039547e+03 -1.392959854866265875e-15
3.260532605951389087e+03 8.380075164599837653e-16
3.262541990616785370e+03 1.726089581519495284e-15
3.264551368309285408e+03 1.490075058833003204e-15
3.266560739012948034e+03 -6.441037168675477793e-18
3.268570102711829804e+03 2.527666784779140540e-16
3.270579459389989097e+03 6.425631922980496851e-16
3.272588809031483379e+03 1.913409128940005258e-16
3.274598151620370118e+03 6.564900659613297940e-16
3.276607487140706780e+03 -5.527842736399007550e-16
3.278616815576551744e+03 7.886297515682391140e-16
3.280626136911962476e+03 3.743042751544563595e-16
3.282635451130995989e+03 5.322623247072705509e-16
3.284644758217710660e+03 7.903570635202959557e-16
3.286654058156163956e+03 3.443948871744114356e-16
3.288663350930413799e+03 -1.161341357464024596e-17
3.290672636524517202e+03 2.680791724951524603e-16
3.292681914922532542e+03 8.027590536387782301e-16
3.294691186108516831e+03 6.866007364839817848e-16
3.296700450066528447e+03 5.490358820921433274e-16
3.298709706780624401e+03 1.198672724715090965e-15
3.300718956234862617e+03 1.032578082817756779e-15
3.302728198413301016e+03 9.066548958231719486e-17
3.304737433299996610e+03 3.188709527245648551e-16
3.306746660879008232e+03 2.640349191384994264e-16
3.308755881134391984e+03 8.491107810245316846e-16
3.310765094050207153e+03 6.906608756188574413e-16
3.312774299610509843e+03 6.995098578229937996e-16
3.314783497799359338e+03 8.466445038215962913e-16
3.316792688600811744e+03 8.279893792432617904e-16
3.318801871998925890e+03 4.175593347438629741e-16
3.320811047977758790e+03 8.185727251274001581e-16
3.322820216521368820e+03 7.743862870189452489e-16
3.324829377613812539e+03 7.872519305922993197e-16
3.326838531239148779e+03 5.470262503477140320e-16
3.328847677381434096e+03 1.008168116917236220e-15
3.330856816024727323e+03 5.489287495025466363e-16
3.332865947153085017e+03 7.290545662089157791e-16
3.334875070750566010e+03 8.489416786511017301e-16
3.336884186801226861e+03 7.603460065172601078e-16
3.338893295289125490e+03 4.249542268469792277e-16
3.340902396198320275e+03 3.837435201387297265e-16
3.342911489512868229e+03 7.098170018941135203e-16
3.344920575216827274e+03 3.702007691046482860e-16
3.346929653294254877e+03 1.148894647328469266e-15
3.348938723729208959e+03 4.584722376928956454e-16
3.350947786505746990e+03 9.756620283977901633e-16
3.352956841607926890e+03 3.135988561446758442e-16
3.354965889019806127e+03 7.619451769894015617e-16
3.356974928725442169e+03 5.423032132401772122e-16
3.358983960708892937e+03 3.716093646725217044e-16
3.360992984954215899e+03 1.313988538968388791e-15
3.363002001445469432e+03 7.278045343608161679e-16
3.365011010166710093e+03 1.189258903291253443e-15
3.367020011101996261e+03 1.288200504303265048e-15
3.369029004235385855e+03 5.171904861279113897e-16
3.371037989550935890e+03 1.108556420589532977e-15
3.373046967032704288e+03 9.441863039355425895e-16
3.375055936664748515e+03 1.250270088837243169e-15
3.377064898431126949e+03 1.121799571784509355e-15
3.379073852315896147e+03 1.277045045081601763e-15
3.381082798303114942e+03 1.296683308204549420e-15
3.383091736376840345e+03 1.886068795500733520e-15
3.385100666521129824e+03 1.323977372051664660e-15
3.387109588720041756e+03 1.579908354297524461e-15
3.389118502957633154e+03 1.432481122508841901e-15
3.391127409217962395e+03 1.683893505863616712e-15
3.393136307485086036e+03 2.355071326734673561e-15
3.395145197743062909e+03 2.347277715309710903e-15
3.397154079975950026e+03 2.251995559544723839e-15
3.399162954167805310e+03 2.762920615577481509e-15
3.401171820302686228e+03 3.036250977620553137e-15
3.403180678364650703e+03 2.854179442754434332e-15
3.405189528337756201e+03 2.983061538080776083e-15
3.407198370206060190e+03 3.079576145168737884e-15
3.409207203953621047e+03 3.416395031554279000e-15
3.411216029564495784e+03 3.126830020406363122e-15
3.413224847022742324e+03 2.920687340364584907e-15
3.415233656312418134e+03 2.610995385437563857e-15
3.417242457417581136e+03 2.106800887675615500e-15
3.419251250322288797e+03 1.966853276417179350e-15
3.421260035010599040e+03 2.080828125482340593e-15
3.423268811466569332e+03 2.262074856841248298e-15
3.425277579674257595e+03 1.841151041233401144e-15
3.427286339617721296e+03 1.426120642406016563e-15
3.429295091281017903e+03 1.690746890768595344e-15
3.431303834648205338e+03 1.584205965601965455e-15
3.433312569703341069e+03 1.372835242412769642e-15
3.435321296430483017e+03 1.441459361137612440e-15
3.437330014813689104e+03 1.298125750700479917e-15
3.439338724837016343e+03 9.897203226281143425e-16
3.441347426484522657e+03 8.804761715695443408e-16
3.443356119740265967e+03 5.727764468817246048e-16
3.445364804588303741e+03 5.903276472990178637e-16
3.447373481012693446e+03 9.970085531800626566e-16
3.449382148997493005e+03 7.479687036792863510e-16
3.451390808526759884e+03 7.246904054074664521e-16
3.453399459584552460e+03 6.702769396043365342e-16
3.455408102154927292e+03 1.064506995660147367e-15
3.457416736221942756e+03 1.108454885971764818e-15
3.459425361769656320e+03 1.078464996180780674e-15
3.461433978782125905e+03 1.121159466515624610e-15
3.463442587243408980e+03 1.032202929997126924e-15
