# Wavelength Flux
3.652211323715994240e+03 5.370669113592199935e-16
3.654219047117529954e+03 6.343049780124865081e-16
3.656226760437415123e+03 5.948003781760854021e-16
3.658234463659707671e+03 6.384872507260786702e-16
3.660242156768465065e+03 5.748648289762285989e-16
3.662249839747745682e+03 6.111184149999374314e-16
3.664257512581606534e+03 6.007428022319548895e-16
3.666265175254105088e+03 5.257001958977333809e-16
3.668272827749299722e+03 6.618354591404786061e-16
3.670280470051247903e+03 4.737073490241554378e-16
3.672288102144006643e+03 5.854320664392858449e-16
3.674295724011634775e+03 5.878316141160252814e-16
3.676303335638188855e+03 5.112479459457681496e-16
3.678310937007727262e+03 6.093297535555539003e-16
3.680318528104307006e+03 5.047176274021254145e-16
3.682326108911986921e+03 4.958508770913947038e-16
3.684333679414823109e+03 4.938201997381502138e-16
3.686341239596874402e+03 5.512955413710715307e-16
3.688348789442198267e+03 4.693899437096058165e-16
3.690356328934852172e+03 5.465179230586120628e-16
3.692363858058893584e+03 4.816458538658127721e-16
3.694371376798380879e+03 4.656923061979807951e-16
3.696378885137371071e+03 5.538538613916899812e-16
3.698386383059921627e+03 4.625604518652787526e-16
3.700393870550090924e+03 4.670643202445330281e-16
3.702401347591936428e+03 4.321553669637509947e-16
3.704408814169515608e+03 5.182330481599830084e-16
3.706416270266886386e+03 6.108255744904649946e-16
3.708423715868106228e+03 4.606965973239381706e-16
3.710431150957233058e+03 5.105080407543263936e-16
3.712438575518323887e+03 5.115798492979330718e-16
3.714445989535437093e+03 4.351075557560840605e-16
3.716453392992630143e+03 4.439646389778656999e-16
3.718460785873960504e+03 5.434162423036410319e-16
3.720468168163486098e+03 4.709896651376055915e-16
3.722475539845264393e+03 4.793955257746605974e-16
3.724482900903353311e+03 5.347841315794762671e-16
3.726490251321810319e+03 5.886170734954280995e-16
3.728497591084693340e+03 4.354049557000305625e-16
3.730504920176059386e+03 5.605567702952386595e-16
3.732512238579966834e+03 4.947662080411430440e-16
3.734519546280473151e+03 5.650924909494768543e-16
3.736526843261635804e+03 5.017291276635126521e-16
3.738534129507512716e+03 4.073050130944270216e-16
3.740541405002161355e+03 5.954293639233498273e-16
3.742548669729639641e+03 5.630922593775680701e-16
3.744555923674005044e+03 5.013703566841416464e-16
3.746563166819315484e+03 4.521106122628193570e-16
3.748570399149627974e+03 5.564233922249175539e-16
3.750577620649000892e+03 5.524465093747332379e-16
3.752584831301491704e+03 4.885860088828277544e-16
3.754592031091157878e+03 5.046414216639292131e-16
3.756599220002057336e+03 5.347135664865640167e-16
3.758606398018247546e+03 4.392138850687725805e-16
3.760613565123786429e+03 4.588016713442307913e-16
3.762620721302730999e+03 5.146850737724862700e-16
3.764627866539140086e+03 5.040011012033506159e-16
3.766635000817070249e+03 4.360304910277691242e-16
3.768642124120579865e+03 4.823119765487051213e-16
3.770649236433726401e+03 4.959925046350251619e-16
3.772656337740567324e+03 4.943404246562351099e-16
3.774663428025160101e+03 5.041749780242765211e-16
3.776670507271563110e+03 5.338162483324957107e-16
3.778677575463833819e+03 5.541056325941273196e-16
3.780684632586029238e+03 4.329960788111827219e-16
3.782691678622208201e+03 4.824917614521509863e-16
3.784698713556426810e+03 5.089607336730931192e-16
3.786705737372744352e+03 4.338450412900544566e-16
3.788712750055217839e+03 4.723113611348462547e-16
3.790719751587904284e+03 4.461035650801593517e-16
3.792726741954862518e+03 5.335952064768359755e-16
3.794733721140149100e+03 4.561480715274711530e-16
3.796740689127822861e+03 5.466142672486288240e-16
3.798747645901940359e+03 4.229477568409926592e-16
3.800754591446559971e+03 4.563577281442321321e-16
3.802761525745739164e+03 4.567128218547857990e-16
3.804768448783535405e+03 4.901629161730106553e-16
3.806775360544006617e+03 5.001917671232788099e-16
3.808782261011210721e+03 4.948139996009000998e-16
3.810789150169204731e+03 4.781151626039414470e-16
3.812796028002047024e+03 4.890483658404315307e-16
3.814802894493794611e+03 4.860925306341082019e-16
3.816809749628505415e+03 5.461498303114066298e-16
3.818816593390236903e+03 5.217251222017111715e-16
3.820823425763047453e+03 5.594912695067237119e-16
3.822830246730994077e+03 5.079901343473338321e-16
3.824837056278134696e+03 4.425758117089614440e-16
3.826843854388526779e+03 4.594188529822285890e-16
3.828850641046228247e+03 4.953940213828663782e-16
3.830857416235296569e+03 5.054041807695621383e-16
3.832864179939789210e+03 4.049338481210815821e-16
3.834870932143764549e+03 4.856230323182111822e-16
3.836877672831279597e+03 4.641012919168422197e-16
3.838884401986392731e+03 5.017770700100696869e-16
3.840891119593160511e+03 5.651968400190721627e-16
3.842897825635641311e+03 5.793373279997005392e-16
3.844904520097893055e+03 4.762169028424378542e-16
3.846911202963973210e+03 4.915281958974965689e-16
3.848917874217939243e+03 5.163695202367504054e-16
3.850924533843848621e+03 5.253790154776967421e-16
3.852931181825759268e+03 5.188835677059869761e-16
3.854937818147729104e+03 4.687915020440731035e-16
3.856944442793815142e+03 4.601407373198572855e-16
3.858951055748076215e+03 5.034917323540643875e-16
3.860957656994568424e+03 5.021020119506444113e-16
3.862964246517351057e+03 4.952472907164574822e-16
3.864970824300480672e+03 4.392906480663513142e-16
3.866977390328015190e+03 4.712405947724677968e-16
3.868983944584012534e+03 4.438874201332503627e-16
3.870990487052529716e+03 4.721860439311085695e-16
3.872997017717625567e+03 5.045903167444629687e-16
3.875003536563356647e+03 4.840329814040134106e-16
3.877010043573780877e+03 4.994792954497911446e-16
3.879016538732956633e+03 5.047933483100187987e-16
3.881023022024940474e+03 5.337736853154217150e-16
3.883029493433791231e+03 5.374311228364168656e-16
3.885035952943565462e+03 5.046234936184652988e-16
3.887042400538321999e+03 5.264671983394786240e-16
3.889048836202116945e+03 5.020689250642556669e-16
3.891055259919009586e+03 6.234491446061650978e-16
3.893061671673056935e+03 5.909224742142755010e-16
3.895068071448316459e+03 6.086350982212628825e-16
3.897074459228845626e+03 5.399126094217347377e-16
3.899080834998703267e+03 5.818728974927040202e-16
3.901087198741945940e+03 6.501456854470566569e-16
3.903093550442631113e+03 5.880574695589243958e-16
3.905099890084817616e+03 6.016688741719629588e-16
3.907106217652562009e+03 5.854294586383534312e-16
3.909112533129922667e+03 6.026956412065495488e-16
3.911118836500957059e+03 6.495770300556524986e-16
3.913125127749723106e+03 5.360203005273734597e-16
3.915131406860277821e+03 5.726465159691366086e-16
