# Wavelength Flux
3.852931181825759268e+03 5.874577418824953589e-16
3.854937818147729104e+03 4.298182734709564944e-16
3.856944442793815142e+03 5.226991076788017893e-16
3.858951055748076215e+03 5.171362032153006624e-16
3.860957656994568424e+03 5.177184788522941940e-16
3.862964246517351057e+03 5.731729384561035259e-16
3.864970824300480672e+03 4.779583364711942154e-16
3.866977390328015190e+03 6.051405972532368136e-16
3.868983944584012534e+03 4.760538511518763644e-16
3.870990487052529716e+03 4.280545260505874483e-16
3.872997017717625567e+03 4.991408775484970001e-16
3.875003536563356647e+03 3.319641442147688583e-16
3.877010043573780877e+03 5.629255976942210675e-16
3.879016538732956633e+03 4.875396489500565990e-16
3.881023022024940474e+03 5.107812636541254529e-16
3.883029493433791231e+03 4.939536685520570494e-16
3.885035952943565462e+03 5.116337864113725439e-16
3.887042400538321999e+03 4.862033862224653758e-16
3.889048836202116945e+03 4.433548605735534583e-16
3.891055259919009586e+03 5.637533936453573251e-16
3.893061671673056935e+03 5.250765161693838199e-16
3.895068071448316459e+03 5.434879225833831512e-16
3.897074459228845626e+03 5.795316469273035204e-16
3.899080834998703267e+03 5.848791619291619110e-16
3.901087198741945940e+03 7.251069963157687254e-16
3.903093550442631113e+03 5.063805020242094557e-16
3.905099890084817616e+03 7.182181260694718497e-16
3.907106217652562009e+03 6.581779405799691118e-16
3.909112533129922667e+03 6.314468372050192823e-16
3.911118836500957059e+03 5.861539345875466894e-16
3.913125127749723106e+03 5.501201434397802785e-16
3.915131406860277821e+03 4.991234935612979387e-16
3.917137673816679126e+03 4.907340254494234784e-16
3.919143928602984943e+03 6.890160082324717780e-16
3.921150171203253194e+03 5.637883092827236319e-16
3.923156401601540438e+03 7.142560528457778654e-16
3.925162619781905505e+03 6.800304421739869087e-16
3.927168825728405864e+03 6.767731192036338531e-16
3.929175019425098071e+03 6.711749660099160125e-16
3.931181200856041414e+03 5.381718040616760811e-16
3.933187370005292905e+03 7.073461700985727510e-16
3.935193526856909557e+03 7.523754771653170204e-16
3.937199671394949746e+03 6.533739081252384245e-16
3.939205803603471395e+03 5.234265593811545308e-16
3.941211923466531516e+03 4.567680768863536571e-16
3.943218030968188032e+03 4.817169646515716953e-16
3.945224126092498409e+03 5.485302307200119053e-16
3.947230208823521025e+03 5.449902639952075108e-16
3.949236279145312892e+03 5.082520993531583565e-16
3.951242337041931478e+03 5.737631220135537632e-16
3.953248382497435159e+03 4.631767515418890444e-16
3.955254415495881403e+03 5.756174337980501509e-16
3.957260436021327223e+03 4.136531390936455630e-16
3.959266444057830995e+03 4.872850321951180623e-16
3.961272439589450642e+03 6.049386448885350113e-16
3.963278422600242720e+03 4.407199636132183202e-16
3.965284393074266063e+03 4.884851009187623055e-16
3.967290350995577683e+03 5.148629869692987592e-16
3.969296296348235046e+03 4.843229513203191697e-16
