# Wavelength Flux
4.254005157483292351e+03 4.536222714414228656e-16
4.256009141376202933e+03 4.382893562739845625e-16
4.258013110404765030e+03 4.610881736814923584e-16
4.260017064553034288e+03 4.467649024121893199e-16
4.262021003805070904e+03 4.816072952517172754e-16
4.264024928144929618e+03 4.559967940519305948e-16
4.266028837556670624e+03 4.811024062529180247e-16
4.268032732024349571e+03 4.572376697740433525e-16
4.270036611532024835e+03 4.636590778940977436e-16
4.272040476063754795e+03 4.979067508865090982e-16
4.274044325603596008e+03 5.065943253891228232e-16
4.276048160135607759e+03 5.114722831122514058e-16
4.278051979643845698e+03 5.129126960679839479e-16
4.280055784112368201e+03 5.262928563989242157e-16
4.282059573525233645e+03 5.025059535358181442e-16
4.284063347866499498e+03 5.396963310683397731e-16
4.286067107120223227e+03 5.620215968406558734e-16
4.288070851270462299e+03 5.491461744034939101e-16
4.290074580301274182e+03 5.818276622561503311e-16
4.292078294196717252e+03 5.880572425653004641e-16
4.294081992940848068e+03 6.063090890109614506e-16
4.296085676517725005e+03 5.829802048906921014e-16
4.298089344911406442e+03 5.884628670738761509e-16
4.300092998105949846e+03 6.214754949454037412e-16
4.302096636085411774e+03 6.546397135771118398e-16
4.304100258833850603e+03 6.784770939838119265e-16
4.306103866335324710e+03 6.752962138905337356e-16
4.308107458573889744e+03 6.550113130658391082e-16
4.310111035533605900e+03 7.219470770645969605e-16
4.312114597198527917e+03 7.288070592081206573e-16
4.314118143552715992e+03 7.669872288269538458e-16
4.316121674580227591e+03 8.431168360654676447e-16
4.318125190265119272e+03 8.156271513400430713e-16
4.320128690591448503e+03 9.129539837557563643e-16
4.322132175543274570e+03 9.448237184154663345e-16
4.324135645104653122e+03 1.012630774253596483e-15
4.326139099259644354e+03 1.043702188891311789e-15
4.328142537992303005e+03 1.086264787896574527e-15
4.330145961286689271e+03 1.146061244289993140e-15
4.332149369126858801e+03 1.207302356843822821e-15
4.334152761496870880e+03 1.264699011929104914e-15
4.336156138380782068e+03 1.316360375725308385e-15
4.338159499762650739e+03 1.265530909833250493e-15
4.340162845626534363e+03 1.279756582193118057e-15
4.342166175956490406e+03 1.310667727555263326e-15
4.344169490736576336e+03 1.272529162062317038e-15
4.346172789950850529e+03 1.280055334170525764e-15
4.348176073583370453e+03 1.219414175791880730e-15
4.350179341618193575e+03 1.151177022340211141e-15
4.352182594039377364e+03 1.092525433052061092e-15
4.354185830830980194e+03 1.034282789269364727e-15
4.356189051977058625e+03 9.994312405878523673e-16
4.358192257461671034e+03 9.461628842978844574e-16
4.360195447268874887e+03 9.550467009019455069e-16
