# wavelength (Angstrom), Flux (erg/cm2/s/Angstrom), Systematic wavelength error (Angstrom)
5.122150855275232971e+03 5.088148679080970634e-16 1.297940371619625832e+00
5.124565066014363765e+03 5.284181040286931804e-16 1.297940371619625832e+00
5.126979631541713388e+03 4.947522021640108292e-16 1.297940371619625832e+00
5.129394551720894924e+03 5.299656645697650272e-16 1.297940371619625832e+00
5.131809826415520547e+03 5.308978511834738817e-16 1.297940371619625832e+00
5.134225455489201522e+03 5.442935105974684332e-16 1.297940371619625832e+00
5.136641438805551843e+03 5.474075950604149063e-16 1.297940371619625832e+00
5.139057776228183684e+03 5.758958067629994177e-16 1.297940371619625832e+00
5.141474467620708310e+03 5.499119896377270012e-16 1.297940371619625832e+00
5.143891512846738806e+03 5.234553875069415541e-16 1.297940371619625832e+00
5.146308911769887345e+03 5.499200525649086196e-16 1.297940371619625832e+00
5.148726664253766103e+03 5.451423760734057806e-16 1.297940371619625832e+00
5.151144770161988163e+03 5.247154707925491276e-16 1.297940371619625832e+00
5.153563229358165700e+03 4.951956748597860187e-16 1.297940371619625832e+00
5.155982041705909978e+03 5.323801635018413740e-16 1.297940371619625832e+00
5.158401207068834083e+03 5.606483403590868729e-16 1.297940371619625832e+00
5.160820725310551097e+03 5.699138146444683071e-16 1.297940371619625832e+00
5.163240596294672287e+03 5.161304241391266349e-16 1.297940371619625832e+00
5.165660819884810735e+03 5.310298881358674397e-16 1.297940371619625832e+00
5.168081395944577707e+03 5.082994673063945947e-16 1.297940371619625832e+00
5.170502324337587197e+03 5.362760188460327082e-16 1.297940371619625832e+00
5.172923604927450469e+03 5.266922958428462721e-16 1.297940371619625832e+00
5.175345237577779699e+03 5.211426367459509765e-16 1.297940371619625832e+00
5.177767222152187969e+03 5.318036860024423434e-16 1.297940371619625832e+00
5.180189558514287455e+03 5.318071496099668336e-16 1.297940371619625832e+00
5.182612246527690331e+03 5.139592348739333350e-16 1.297940371619625832e+00
5.185035286056009681e+03 5.271437745200707646e-16 1.297940371619625832e+00
5.187458676962855861e+03 5.058866650091089092e-16 1.297940371619625832e+00
5.189882419111843774e+03 5.077218371207031133e-16 1.297940371619625832e+00
5.192306512366583775e+03 5.117939773723497365e-16 1.297940371619625832e+00
5.194730956590688947e+03 5.036017516250749802e-16 1.297940371619625832e+00
5.197155751647772377e+03 5.179377147723082254e-16 1.297940371619625832e+00
5.199580897401445327e+03 4.862586415054373865e-16 1.297940371619625832e+00
5.202006393715320883e+03 5.087767466933753769e-16 1.297940371619625832e+00
5.204432240453010309e+03 5.250563198995340951e-16 1.297940371619625832e+00
5.206858437478127598e+03 5.497391993794240121e-16 1.297940371619625832e+00
5.209284984654284017e+03 5.276397968580877767e-16 1.297940371619625832e+00
5.211711881845091739e+03 4.826391969586196858e-16 1.297940371619625832e+00
5.214139128914163848e+03 5.257424243478066797e-16 1.297940371619625832e+00
5.216566725725112519e+03 5.179977528934445208e-16 1.297940371619625832e+00
5.218994672141549927e+03 5.353305843945783019e-16 1.297940371619625832e+00
5.221422968027089155e+03 5.986405085708681359e-16 1.297940371619625832e+00
5.223851613245340559e+03 6.463628167813629017e-16 1.297940371619625832e+00
5.226280607659919042e+03 7.642991677416749997e-16 1.297940371619625832e+00
5.228709951134434959e+03 8.906295223539289195e-16 1.297940371619625832e+00
5.231139643532502305e+03 9.323442085685727513e-16 1.297940371619625832e+00
5.233569684717731434e+03 8.723930421005456931e-16 1.297940371619625832e+00
5.236000074553736340e+03 7.564340603685237731e-16 1.297940371619625832e+00
5.238430812904129198e+03 6.580734680953591717e-16 1.297940371619625832e+00
5.240861899632522181e+03 5.557493748721744799e-16 1.297940371619625832e+00
5.243293334602527466e+03 5.184502233464044949e-16 1.297940371619625832e+00
5.245725117677757225e+03 5.023212455229880756e-16 1.297940371619625832e+00
5.248157248721823635e+03 4.906567627450649262e-16 1.297940371619625832e+00
5.250589727598340687e+03 4.937337593992629472e-16 1.297940371619625832e+00
5.253022554170918738e+03 4.827380248047289131e-16 1.297940371619625832e+00
5.255455728303170872e+03 5.057906861045084658e-16 1.297940371619625832e+00
5.257889249858709263e+03 4.965985030461807622e-16 1.297940371619625832e+00
5.260323118701146996e+03 4.894282749676200822e-16 1.297940371619625832e+00
5.262757334694096244e+03 4.970754580801377885e-16 1.297940371619625832e+00
5.265191897701168273e+03 5.067967102449619912e-16 1.297940371619625832e+00
5.267626807585977076e+03 5.399191922375708779e-16 1.297940371619625832e+00
5.270062064212133919e+03 5.223088865218292449e-16 1.297940371619625832e+00
5.272497667443250975e+03 5.123737270506047770e-16 1.297940371619625832e+00
5.274933617142941330e+03 5.179260364249085479e-16 1.297940371619625832e+00
5.277369913174817157e+03 5.325279958631632835e-16 1.297940371619625832e+00
5.279806555402490631e+03 5.282377779099177511e-16 1.297940371619625832e+00
5.282243543689573926e+03 5.270520153675292971e-16 1.297940371619625832e+00
5.284680877899680127e+03 4.966505764725896167e-16 1.297940371619625832e+00
5.287118557896421407e+03 4.892612249813084958e-16 1.297940371619625832e+00
5.289556583543409033e+03 4.760890586407509325e-16 1.297940371619625832e+00
5.291994954704256088e+03 5.181766003140052863e-16 1.297940371619625832e+00
5.294433671242575656e+03 4.714281140447475185e-16 1.297940371619625832e+00
5.296872733021979002e+03 4.725801347400203918e-16 1.297940371619625832e+00
5.299312139906079210e+03 4.897923607042937207e-16 1.297940371619625832e+00
5.301751891758488455e+03 4.879917891297657659e-16 1.297940371619625832e+00
5.304191988442818911e+03 4.795923187093049789e-16 1.297940371619625832e+00
5.306632429822682752e+03 4.699724708169247025e-16 1.297940371619625832e+00
5.309073215761693064e+03 4.764887591952018408e-16 1.297940371619625832e+00
5.311514346123461110e+03 4.770779214663023403e-16 1.297940371619625832e+00
5.313955820771599974e+03 4.592284024205047720e-16 1.297940371619625832e+00
5.316397639569722742e+03 4.557880322521716711e-16 1.297940371619625832e+00
5.318839802381439767e+03 4.727657727599691710e-16 1.297940371619625832e+00
5.321282309070365045e+03 4.758256723997557699e-16 1.297940371619625832e+00
5.323725159500110749e+03 4.661883886466237054e-16 1.297940371619625832e+00
5.326168353534289054e+03 4.695748611247330972e-16 1.297940371619625832e+00
5.328611891036512134e+03 4.576914660836527831e-16 1.297940371619625832e+00
5.331055771870392164e+03 4.853086771232165954e-16 1.297940371619625832e+00
5.333499995899541318e+03 4.631164234086344186e-16 1.297940371619625832e+00
